,0
lot,0.405465
låvong,1.098612
madagascar,1.098612
maelstrom,1.098612
mainland,1.098612
maintain,1.098612
maintaining,1.098612
make,0.0
making,1.098612
mammal,1.098612
manager,1.098612
manicured,1.098612
mantra,1.098612
map,1.098612
march,1.098612
marked,1.098612
marking,1.098612
mass,1.098612
match,1.098612
matt,1.098612
max,1.098612
maybe,1.098612
meadow,1.098612
meal,1.098612
mean,0.405465
meandered,1.098612
meaningless,1.098612
meant,0.405465
measured,1.098612
median,1.098612
medieval,0.405465
medium,1.098612
member,1.098612
memory,1.098612
mental,1.098612
mentor,1.098612
mesh,1.098612
message,1.098612
metre,1.098612
mette,1.098612
microsoft,1.098612
midnight,1.098612
milestone,1.098612
millennials,1.098612
million,0.405465
minute,1.098612
miracle,1.098612
mismatch,1.098612
missing,0.405465
mississauga,1.098612
model,1.098612
modern,1.098612
money,1.098612
monkey,1.098612
morning,0.405465
mother,1.098612
motivation,1.098612
mount,1.098612
mountain,1.098612
movement,1.098612
moving,1.098612
museum,1.098612
mystery,1.098612
namibia,1.098612
nap,1.098612
napping,1.098612
narrative,0.405465
narrowed,1.098612
nation,1.098612
national,1.098612
natural,1.098612
nature,1.098612
navigating,1.098612
nearest,1.098612
nearly,0.405465
necessarily,1.098612
need,1.098612
needing,1.098612
nesna,1.098612
netflix,1.098612
neuroscientist,1.098612
new,0.0
niels,1.098612
night,0.405465
nocturnal,1.098612
noise,1.098612
normalisation,1.098612
north,0.405465
northern,0.405465
norway,1.098612
norwegian,1.098612
note,0.405465
notice,1.098612
notification,1.098612
number,0.405465
obstacle,1.098612
occasionally,1.098612
ocean,1.098612
offering,1.098612
office,1.098612
offshore,1.098612
olav,1.098612
older,1.098612
onboard,1.098612
onward,1.098612
open,1.098612
opinion,1.098612
opportunity,0.405465
optimism,1.098612
optimistic,1.098612
oracle,1.098612
organisation,1.098612
ornithology,1.098612
ought,1.098612
outcrop,1.098612
outermost,1.098612
outline,1.098612
overall,1.098612
overcame,1.098612
overwhelmed,1.098612
overwork,1.098612
ownership,1.098612
pace,1.098612
painted,1.098612
palace,1.098612
pandemic,1.098612
paper,1.098612
paradox,1.098612
park,1.098612
participant,1.098612
passage,1.098612
passed,1.098612
passing,1.098612
passion,1.098612
passionate,1.098612
past,1.098612
path,1.098612
pattern,1.098612
pay,1.098612
peak,1.098612
people,0.405465
pepperdine,1.098612
perfect,1.098612
perfectly,1.098612
perform,1.098612
perimeter,1.098612
period,0.405465
perk,1.098612
perseverance,1.098612
person,1.098612
perspective,1.098612
peter,1.098612
phase,1.098612
phone,1.098612
phrase,1.098612
pick,1.098612
picture,1.098612
piled,1.098612
pilgrimage,1.098612
pioneer,1.098612
pivoting,1.098612
pizza,1.098612
place,1.098612
plan,1.098612
planck,1.098612
planet,1.098612
planning,1.098612
plateau,1.098612
platform,0.405465
played,1.098612
playing,1.098612
point,0.0
poor,1.098612
pope,1.098612
popping,1.098612
population,1.098612
posed,1.098612
position,1.098612
positive,1.098612
possible,0.405465
potentially,1.098612
power,1.098612
predation,1.098612
predator,1.098612
predictive,1.098612
presence,1.098612
pressure,1.098612
pressured,1.098612
prevalence,1.098612
prevent,1.098612
price,1.098612
primate,1.098612
prisoner,1.098612
probably,1.098612
problem,0.405465
problematise,1.098612
procedure,1.098612
productive,1.098612
professional,1.098612
professor,1.098612
project,0.405465
promoted,1.098612
proportion,1.098612
protection,1.098612
protective,1.098612
provide,1.098612
provincial,1.098612
proxy,1.098612
psychology,1.098612
psychotherapist,1.098612
pulled,1.098612
punishment,1.098612
pursuing,1.098612
pursuit,1.098612
pushing,1.098612
putting,1.098612
queen,1.098612
question,1.098612
quickly,1.098612
quiet,1.098612
quite,1.098612
rallying,1.098612
ramification,1.098612
range,1.098612
rapid,1.098612
rate,1.098612
rattenborg,1.098612
read,1.098612
realise,1.098612
realised,1.098612
really,1.098612
reason,1.098612
reasonable,1.098612
recall,1.098612
receded,1.098612
received,1.098612
receives,1.098612
recently,1.098612
recognised,1.098612
record,1.098612
recorded,1.098612
recovery,1.098612
relationship,1.098612
relative,1.098612
relatively,1.098612
relax,1.098612
release,1.098612
released,1.098612
rem,1.098612
remains,1.098612
reminder,1.098612
remote,1.098612
remotely,1.098612
repetitive,1.098612
report,0.405465
reported,0.405465
reporting,1.098612
request,1.098612
research,0.405465
researcher,0.405465
resembled,1.098612
resembles,1.098612
respectively,1.098612
respond,1.098612
respondent,0.405465
rest,1.098612
rested,1.098612
retire,1.098612
return,1.098612
reveal,1.098612
revealed,1.098612
review,1.098612
revolutionising,1.098612
rewarded,1.098612
rhythm,1.098612
ridge,1.098612
right,0.405465
rise,0.0
rising,1.098612
risk,1.098612
rite,1.098612
riven,1.098612
road,1.098612
roadside,1.098612
rock,1.098612
rocky,1.098612
role,1.098612
rolled,1.098612
roof,1.098612
room,1.098612
rose,1.098612
route,1.098612
rugged,1.098612
rural,1.098612
safely,1.098612
safety,1.098612
said,0.0
sainthood,1.098612
salary,1.098612
saltstraumen,1.098612
samson,1.098612
san,1.098612
sandnessjøen,1.098612
savannah,1.098612
say,0.405465
scandinavian,1.098612
science,1.098612
scientist,1.098612
screen,1.098612
sea,1.098612
seek,1.098612
send,1.098612
sense,0.405465
sensor,1.098612
sentiment,1.098612
serene,1.098612
series,1.098612
service,1.098612
set,0.405465
setting,1.098612
settling,1.098612
seven,0.405465
shade,1.098612
shape,1.098612
share,1.098612
shared,1.098612
sharing,1.098612
shattered,1.098612
sheer,1.098612
shell,1.098612
shelter,1.098612
shield,1.098612
shore,1.098612
shoreline,1.098612
short,0.405465
shorter,1.098612
shortest,1.098612
shot,1.098612
showed,0.405465
showing,1.098612
shown,1.098612
sign,0.405465
significant,1.098612
similar,0.405465
similarly,1.098612
simple,1.098612
single,1.098612
sinuous,1.098612
sister,1.098612
site,1.098612
size,1.098612
sleep,1.098612
sleeping,1.098612
slept,1.098612
slightly,1.098612
sloth,1.098612
small,1.098612
smartphone,1.098612
smoothed,1.098612
snail,1.098612
snoozing,1.098612
social,0.405465
society,1.098612
sognefjellet,1.098612
solution,0.405465
son,1.098612
soon,1.098612
sophistication,1.098612
sound,1.098612
spare,1.098612
sparsely,1.098612
speak,1.098612
special,1.098612
specialising,1.098612
specie,1.098612
specifically,1.098612
spectacular,1.098612
spend,0.405465
spending,1.098612
spent,1.098612
spirit,1.098612
spread,1.098612
stage,1.098612
standard,1.098612
star,1.098612
stared,1.098612
stark,1.098612
start,0.405465
started,0.405465
stay,0.405465
stayed,1.098612
steep,1.098612
steeply,1.098612
steinkjer,1.098612
step,1.098612
sticking,1.098612
stiklestad,1.098612
stilted,1.098612
stokkvågen,1.098612
stone,1.098612
stop,1.098612
stopped,1.098612
story,0.405465
strain,1.098612
strait,1.098612
strange,1.098612
stress,1.098612
stressed,1.098612
stressor,1.098612
stretch,1.098612
strong,1.098612
strongest,1.098612
struggle,0.0
studied,1.098612
study,0.405465
studying,0.405465
subplot,1.098612
subsequently,1.098612
suck,1.098612
suddenly,1.098612
suffering,1.098612
suggests,0.405465
summer,1.098612
summit,1.098612
sun,1.098612
superpower,1.098612
sure,1.098612
surely,1.098612
surface,1.098612
surging,1.098612
surprise,1.098612
surprising,1.098612
survey,0.405465
suspect,1.098612
svartisen,1.098612
swept,1.098612
syv,1.098612
søstre,1.098612
taken,1.098612
talked,1.098612
talking,0.405465
tamarin,1.098612
tamed,1.098612
taming,1.098612
tanzania,1.098612
task,0.0
team,0.405465
technically,1.098612
tell,0.405465
telling,0.0
temporary,1.098612
term,1.098612
terrain,1.098612
text,1.098612
thing,0.405465
think,0.405465
threat,1.098612
threatens,1.098612
tidal,1.098612
tie,1.098612
time,0.0
timed,1.098612
tiny,1.098612
tired,1.098612
today,1.098612
told,1.098612
toll,1.098612
tomb,1.098612
tomorrow,1.098612
tongue,1.098612
torghatten,1.098612
toronto,1.098612
total,1.098612
town,1.098612
tracing,1.098612
traded,1.098612
traffic,1.098612
transitioned,1.098612
travelling,1.098612
tree,0.405465
trend,1.098612
trip,1.098612
triumph,1.098612
troll,1.098612
trondheim,1.098612
trouble,1.098612
true,1.098612
trying,1.098612
tsimane,1.098612
tunnel,1.098612
turn,1.098612
turned,1.098612
turning,1.098612
twig,1.098612
type,1.098612
typical,1.098612
understanding,0.405465
understood,1.098612
unemployed,1.098612
unfurls,1.098612
unified,1.098612
unify,1.098612
unique,1.098612
united,1.098612
university,0.405465
unless,1.098612
unloaded,1.098612
unrealistic,1.098612
unseen,1.098612
unusual,1.098612
unwind,1.098612
use,1.098612
used,1.098612
various,1.098612
vast,1.098612
vertigo,1.098612
view,1.098612
viking,1.098612
village,1.098612
visiting,1.098612
visser,1.098612
vivid,1.098612
volume,1.098612
wa,0.0
wait,1.098612
waited,1.098612
wake,1.098612
wall,0.405465
want,0.405465
war,1.098612
warm,1.098612
wasn,1.098612
watch,1.098612
watched,1.098612
watching,1.098612
water,1.098612
waterfall,1.098612
way,0.0
wear,1.098612
weaving,1.098612
website,1.098612
week,0.405465
weekend,1.098612
weird,1.098612
wellness,1.098612
went,1.098612
west,1.098612
whirlpool,1.098612
widespread,1.098612
wild,1.098612
wilder,1.098612
wildly,1.098612
willing,1.098612
willingness,1.098612
wish,1.098612
won,1.098612
wonder,1.098612
wooden,1.098612
work,0.0
worked,0.405465
worker,1.098612
workforce,1.098612
working,0.405465
workplace,1.098612
world,0.405465
worried,1.098612
worrying,1.098612
worst,1.098612
worthwhile,1.098612
wouldn,1.098612
wrap,1.098612
year,0.0
yes,1.098612
yetish,1.098612
young,1.098612
younger,1.098612
youngest,1.098612
youth,1.098612
zers,1.098612
zone,1.098612
zoo,1.098612
zoom,1.098612
